¹1	
0	11,6653
0,97	11,5923
1,901	11,5332
2,864	11,4667
3,803	11,4086
4,802	11,3459
5,7372	11,28054
6,693542857	11,21726571
7,649885714	11,15399143
8,606228571	11,09071714
9,562571429	11,02744286
10,51891429	10,96416857
11,47525714	10,90089429
12,4316	10,83762
13,38794286	10,77434571
14,34428571	10,71107143
15,30062857	10,64779714
16,25697143	10,58452286
17,21331429	10,52124857
18,16965714	10,45797429
19,126	10,3947
20,08234286	10,33142571
21,03868571	10,26815143
21,99502857	10,20487714
22,95137143	10,14160286
23,90771429	10,07832857
24,86405714	10,01505429
25,8204	9,95178
26,77674286	9,888505714
27,73308571	9,825231429
28,68942857	9,761957143
29,64577143	9,698682857
30,60211429	9,635408571
31,55845714	9,572134286
32,5148	9,50886
33,47114286	9,445585714
34,42748571	9,382311429
35,38382857	9,319037143
36,34017143	9,255762857
37,29651429	9,192488571
38,25285714	9,129214286
39,2092	9,06594
40,16554286	9,002665714
41,12188571	8,939391429
42,07822857	8,876117143
43,03457143	8,812842857
43,99091429	8,749568571
44,94725714	8,686294286
45,9036	8,62302
46,85994286	8,559745714
47,81628571	8,496471429
48,77262857	8,433197143
49,72897143	8,369922857
50,68531429	8,306648571
51,64165714	8,243374286
52,598	8,1801
53,55434286	8,116825714
54,51068571	8,053551429
55,46702857	7,990277143
56,42337143	7,927002857
57,37971429	7,863728571
58,33605714	7,800454286
59,2924	7,73718
60,24874286	7,673905714
61,20508571	7,610631429
62,16142857	7,547357143
63,11777143	7,484082857
64,07411429	7,420808571
65,03045714	7,357534286
65,9868	7,29426
66,94314286	7,230985714
67,89948571	7,167711429
68,85582857	7,104437143
69,81217143	7,041162857
70,76851429	6,977888571
71,72485714	6,914614286
72,6812	6,85134
73,63754286	6,788065714
74,59388571	6,724791429
75,55022857	6,661517143
76,50657143	6,598242857
77,46291429	6,534968571
78,41925714	6,471694286
79,3756	6,40842
80,33194286	6,345145714
81,28828571	6,281871429
82,24462857	6,218597143
83,20097143	6,155322857
84,15731429	6,092048571
85,11365714	6,028774286
86,07	5,9655
87,02634286	5,902225714
87,98268571	5,838951429
88,93902857	5,775677143
89,89537143	5,712402857
90,85171429	5,649128571
91,80805714	5,585854286
92,7644	5,52258
93,72074286	5,459305714
94,67708571	5,396031429
95,63342857	5,332757143
